prediction_id,timestamp,message,service,category,score,confidence,urgency_detected
5084cd73-f5f6-44f3-86a4-571747465a91,2026-07-25T13:54:33.301700,saya butuh tim it,IT outsourcing,Corporate,0.52,0.52,False
722ed895-3eb1-409b-b110-fbefd5f6e4e3,2026-07-25T14:27:31.813103,transfrmer,Digital transformation / custom software,Corporate,0.69,0.69,False
a85b0965-b81e-4ccf-b8d7-1f6658323085,2026-07-25T15:12:41.948801,ui ux untuk perusahaan ku sekitar 5000 orang,UI/UX design,Corporate,0.51,0.51,False
a40d28a9-f676-45d2-ad69-f22243f0d068,2026-07-25T15:13:38.001014,lesgo,IT outsourcing,Corporate,0.55,0.55,False
198bed4c-eee4-4c43-af7a-3bda851bf2a6,2026-07-27T02:29:04.422512,saya ingin membuat apps untuk kasir di toko ku bisa tolong buatkan tim sagara? dengan cepat ya saya butuh cepat,Mobile app development,SME,0.99,0.99,True
3e4a03e8-b870-457e-a582-ea3555cdd090,2026-07-31T07:26:51.226401,saya perlu bantuan segera,IT outsourcing,SME,0.49,0.34,True
f9167538-abb8-4db8-8ef9-017687ccce91,2026-07-31T13:23:58.461244,please make the apps for my store in Bandung,Mobile app development,Corporate,0.43,0.43,False
26ca68ed-7392-4c7b-ac9d-f0e32da386dc,2026-08-01T09:12:16.508373,babi lu,IT outsourcing,Corporate,0.55,0.55,False
4532cf13-46c0-4b61-8984-bb98ce8e1841,2026-08-02T08:16:09.066841,"We urgently need an ERP system for our 200-branch manufacturing company. This is critical ASAP, our current system is causing major operational downtime.",IT outsourcing,Corporate,0.99,0.91,True
f197c5d1-6f67-440f-96ab-2a977ed6d7f7,2026-08-02T08:21:02.092293,Ingin scan dan indeks 10.000 dokumen lama. Butuh sistem pencarian cepat dan penyimpanan cloud. Prioritas keamanan data.,Digital transformation / custom software,Corporate,0.94,0.79,True
fef9b571-3587-48b9-a19f-9da73d4ad87b,2026-08-02T08:33:48.258397,Ingin scan dan indeks 10.000 dokumen lama. Butuh sistem pencarian cepat dan penyimpanan cloud. Prioritas keamanan data.,UI/UX design,Corporate,0.82,0.67,True
b11ae1e0-1ae4-41e6-af4b-c53965e54f3f,2026-08-02T10:31:39.789264,testing doang anjg,Digital transformation / custom software,Corporate,0.67,0.67,False
