text,service,label
Saya ingin menyimpan data pelanggan di cloud.,Cloud Infrastructure & Migration,SME
Saya bermaksud menyimpan data pelanggan di cloud.,Cloud Infrastructure & Migration,SME
Apakah bisa saya bermaksud menyimpan data pelanggan di cloud.,Cloud Infrastructure & Migration,SME
Kami dari instansi pemerintah membutuhkan sistem pelayanan publik digital.,Government Solutions,Government
Butuh bantuan untuk perusahaan kami dari instansi instansi membutuhkan sistem pelayanan publik digital.,Government Solutions,Government
saya dari instansi pemda membutuhkan sistem pelayanan publik digital.,Government Solutions,Government
perusahaan kami dari instansi instansi membutuhkan sistem pelayanan publik digital.,Government Solutions,Government
Apakah bisa perusahaan kami dari instansi pemerintah membutuhkan sistem pelayanan publik digital.,Government Solutions,Government
Pemerintah daerah ingin membuat dashboard smart city.,Government Solutions,Government
pemda daerah mau membuat dashboard smart city.,Government Solutions,Government
pemerintahan daerah butuh membuat dashboard smart city.,Government Solutions,Government
Butuh bantuan untuk pemerintah daerah mau membuat dashboard smart city.,Government Solutions,Government
instansi daerah bermaksud membuat dashboard smart city.,Government Solutions,Government
Butuh sistem manajemen data penduduk untuk dinas.,Government Solutions,Government
Butuh sistem manajemen data penduduk utk dinas.,Government Solutions,Government
Pengadaan aplikasi untuk digitalisasi layanan masyarakat.,Government Solutions,Government
Pengadaan software untuk digitalisasi layanan masyarakat.,Government Solutions,Government
Pengadaan sistem untuk digitalisasi layanan masyarakat.,Government Solutions,Government
Apakah bisa pengadaan aplikasi untuk digitalisasi layanan masyarakat.,Government Solutions,Government
Butuh bantuan untuk pengadaan aplikasi untuk digitalisasi layanan masyarakat.,Government Solutions,Government
Kami butuh audit keamanan untuk sistem pemerintahan.,Cybersecurity Audit,Government
kami butuh audit keamanan untuk sistem pemerintahan.,Cybersecurity Audit,Government
saya butuh audit keamanan untuk sistem pemerintahan.,Cybersecurity Audit,Government
Butuh bantuan untuk saya butuh audit keamanan untuk sistem pemerintahan.,Cybersecurity Audit,Government
Butuh bantuan untuk instansi kami butuh audit keamanan untuk sistem pemerintahan.,Cybersecurity Audit,Government
Proyek pengembangan sistem informasi nasional.,Government Solutions,Government
Kami ingin proyek pengembangan sistem informasi nasional.,Government Solutions,Government
"Mohon info, proyek pengembangan sistem informasi nasional.",Government Solutions,Government
Perusahaan saya butuh developer buat bikin web app.,Custom Software Development,Corporate
Butuh bantuan untuk perusahaan saya butuh developer buat membangun web app.,Custom Software Development,Corporate
"Mohon info, bisnis saya butuh developer buat bikin web app.",Custom Software Development,Corporate
Apakah bisa perusahaan saya butuh developer buat membangun web app.,Custom Software Development,Corporate
"Halo, kantor saya butuh developer buat buat web app.",Custom Software Development,Corporate
Need IT team for enterprise application development.,Custom Software Development,Corporate
"Mohon info, need IT team for enterprise application development.",Custom Software Development,Corporate
Kami ingin need IT team for enterprise application development.,Custom Software Development,Corporate
Apakah bisa need IT team for enterprise application development.,Custom Software Development,Corporate
"Halo, need IT team for enterprise application development.",Custom Software Development,Corporate
High priority requirement for secure infrastructure.,Cybersecurity Audit,Corporate
"Halo, high priority requirement for secure infrastructure.",Cybersecurity Audit,Corporate
Apakah bisa high priority requirement for secure infrastructure.,Cybersecurity Audit,Corporate
Saya mau bikin toko online sederhana.,Custom Software Development,SME
"Mohon info, saya mau membuat toko online sederhana.",Custom Software Development,SME
Apakah bisa saya mau bikin toko online sederhana.,Custom Software Development,SME
"Halo, saya mau buat toko online sederhana.",Custom Software Development,SME
Butuh bantuan untuk saya mau membangun toko online sederhana.,Custom Software Development,SME
Butuh bantuan digital marketing dan website.,IT Strategy Consulting,SME
Butuh bantuan digital marketing dn website.,IT Strategy Consulting,SME
Usaha kecil saya ingin punya aplikasi sendiri.,Custom Software Development,SME
"Halo, usaha kecil saya mau punya platform sendiri.",Custom Software Development,SME
Butuh bantuan untuk usaha kecil saya butuh punya app sendiri.,Custom Software Development,SME
Usaha kecil saya butuh punya app sendiri.,Custom Software Development,SME
Kami ingin usaha kecil saya butuh punya sistem sendiri.,Custom Software Development,SME
Kami dari kementerian butuh sistem pelaporan digital.,Government Solutions,Government
Kami ingin kita dari kementerian butuh sistem pelaporan digital.,Government Solutions,Government
instansi kami dari kementerian butuh sistem pelaporan digital.,Government Solutions,Government
"Mohon info, saya dari kementerian butuh sistem pelaporan digital.",Government Solutions,Government
Butuh solusi IT untuk pelayanan publik yang lebih cepat.,Government Solutions,Government
Butuh solusi IT untuk pelayanan publik yng lebih cepat.,Government Solutions,Government
Digital transformation for banking sector with high security.,Cybersecurity Audit,Corporate
"Halo, digital transformation for banking sector with high security.",Cybersecurity Audit,Corporate
"Mohon info, digital transformation for banking sector with high security.",Cybersecurity Audit,Corporate
Migrasi data center ke AWS untuk efisiensi biaya perusahaan.,Cloud Infrastructure & Migration,Corporate
"Halo, migrasi data center ke AWS untuk efisiensi biaya bisnis.",Cloud Infrastructure & Migration,Corporate
Butuh bantuan untuk migrasi data center ke AWS untuk efisiensi biaya kantor.,Cloud Infrastructure & Migration,Corporate
"Halo, migrasi data center ke AWS untuk efisiensi biaya kantor.",Cloud Infrastructure & Migration,Corporate
"Mohon info, migrasi data center ke AWS untuk efisiensi biaya institusi.",Cloud Infrastructure & Migration,Corporate
Strategic IT roadmap for 5 year business plan.,IT Strategy Consulting,Corporate
Kami ingin strategic IT roadmap for 5 year business plan.,IT Strategy Consulting,Corporate
"Halo, strategic IT roadmap for 5 year business plan.",IT Strategy Consulting,Corporate
Development of core banking system with microservices.,Custom Software Development,Corporate
Kami ingin development of core banking system with microservices.,Custom Software Development,Corporate
"Halo, development of core banking system with microservices.",Custom Software Development,Corporate
External penetration testing for corporate network.,Cybersecurity Audit,Corporate
"Mohon info, external penetration testing for corporate network.",Cybersecurity Audit,Corporate
Urgent requirement for scalable cloud architecture.,Cloud Infrastructure & Migration,Corporate
butuh jasa pembuatan web buat umkm kuliner saya.,Custom Software Development,SME
butuh jasa pembuatan web buat ukm kuliner saya.,Custom Software Development,SME
butuh jasa pembuatan web buat toko kuliner saya.,Custom Software Development,SME
butuh jasa pembuatan web buat warung kuliner saya.,Custom Software Development,SME
pengen konsultasi cara jualan online pke website.,IT Strategy Consulting,SME
Butuh bantuan untuk pengen konsultasi cara jualan online pke website.,IT Strategy Consulting,SME
"Mohon info, pengen konsultasi cara jualan online pke website.",IT Strategy Consulting,SME
mau mindahin data jualan ke online biar aman.,Cloud Infrastructure & Migration,SME
"Mohon info, mau mindahin data jualan ke online biar aman.",Cloud Infrastructure & Migration,SME
Apakah bisa mau mindahin data jualan ke online biar aman.,Cloud Infrastructure & Migration,SME
butuh sistem kasir buat toko bangunan kecil.,Custom Software Development,SME
bikinin landing page buat promo produk baru umkm.,Custom Software Development,SME
"Halo, bikinin landing page buat promo produk baru toko.",Custom Software Development,SME
Butuh bantuan untuk bikinin landing page buat promo produk baru warung.,Custom Software Development,SME
bikinin landing page buat promo produk baru warung.,Custom Software Development,SME
deadline deket butuh web profil buat ukm segera.,Custom Software Development,SME
deadline deket butuh web profil buat ukm buru-buru.,Custom Software Development,SME
"Mohon info, deadline deket butuh web profil buat ukm buru-buru.",Custom Software Development,SME
Kami ingin deadline deket butuh web profil buat ukm asap.,Custom Software Development,SME
Sistem pendaftaran perizinan terpadu untuk kabupaten.,Government Solutions,Government
"Mohon info, sistem pendaftaran perizinan terpadu untuk kabupaten.",Government Solutions,Government
Audit infrastruktur data center pemerintah provinsi.,Cybersecurity Audit,Government
Kami ingin audit infrastruktur data center pemda provinsi.,Cybersecurity Audit,Government
Butuh bantuan untuk audit infrastruktur data center pemerintahan provinsi.,Cybersecurity Audit,Government
Apakah bisa audit infrastruktur data center pemerintah provinsi.,Cybersecurity Audit,Government
Konsultasi smart province untuk efisiensi publik.,IT Strategy Consulting,Government
Butuh bantuan untuk konsultasi smart province buat efisiensi publik.,IT Strategy Consulting,Government
Apakah bisa konsultasi smart province untuk efisiensi publik.,IT Strategy Consulting,Government
Web base application for public health tracking system.,Government Solutions,Government
"Mohon info, web base application for public health tracking system.",Government Solutions,Government
"Halo, web base application for public health tracking system.",Government Solutions,Government
Modernisasi sistem perpajakan daerah segera.,Government Solutions,Government
Butuh bantuan untuk modernisasi sistem perpajakan daerah secepatnya.,Government Solutions,Government
"Halo, modernisasi sistem perpajakan daerah buru-buru.",Government Solutions,Government
Kami ingin modernisasi sistem perpajakan daerah segera.,Government Solutions,Government
Butuh developer buat aplikasi mobile kantor dinas.,Custom Software Development,Government
Butuh developer buat app mobile kantor dinas.,Custom Software Development,Government
Enterprise resource planning for logistics company.,Custom Software Development,Corporate
Kami ingin enterprise resource planning for logistics company.,Custom Software Development,Corporate
Apakah bisa enterprise resource planning for logistics company.,Custom Software Development,Corporate
"Halo, enterprise resource planning for logistics company.",Custom Software Development,Corporate
Cloud optimization for high traffic e-commerce corporate.,Cloud Infrastructure & Migration,Corporate
Apakah bisa cloud optimization for high traffic e-commerce corporate.,Cloud Infrastructure & Migration,Corporate
"Halo, cloud optimization for high traffic e-commerce corporate.",Cloud Infrastructure & Migration,Corporate
Kami ingin cloud optimization for high traffic e-commerce corporate.,Cloud Infrastructure & Migration,Corporate
ISO 27001 readiness and gap analysis for enterprise.,Cybersecurity Audit,Corporate
"Mohon info, iSO 27001 readiness and gap analysis for enterprise.",Cybersecurity Audit,Corporate
Apakah bisa iSO 27001 readiness and gap analysis for enterprise.,Cybersecurity Audit,Corporate
Business process re-engineering using digital solutions.,IT Strategy Consulting,Corporate
Butuh bantuan untuk business process re-engineering using digital solutions.,IT Strategy Consulting,Corporate
Apakah bisa business process re-engineering using digital solutions.,IT Strategy Consulting,Corporate
Custom software for supply chain management system.,Custom Software Development,Corporate
Urgent setup for corporate remote working infrastructure.,Cloud Infrastructure & Migration,Corporate
Kami ingin urgent setup for corporate remote working infrastructure.,Cloud Infrastructure & Migration,Corporate
"Mohon info, urgent setup for corporate remote working infrastructure.",Cloud Infrastructure & Migration,Corporate
Apakah bisa urgent setup for corporate remote working infrastructure.,Cloud Infrastructure & Migration,Corporate
butuh applikasi buat usaha dagang kecil kecilan.,Custom Software Development,SME
mau bikin web yang murah buat usaha saya.,Custom Software Development,SME
Apakah bisa mau membangun web yang murah buat usaha saya.,Custom Software Development,SME
Butuh bantuan untuk mau membuat web yang terjangkau buat usaha saya.,Custom Software Development,SME
Kami ingin mau bikin web yang terjangkau buat usaha saya.,Custom Software Development,SME
"Halo, mau membangun web yang hemat budget buat usaha saya.",Custom Software Development,SME
konsultasi strategi biar bisnis ukm naik kelas.,IT Strategy Consulting,SME
"Halo, konsultasi strategi biar bisnis ukm naik kelas.",IT Strategy Consulting,SME
Apakah bisa konsultasi strategi biar bisnis ukm naik kelas.,IT Strategy Consulting,SME
segara butuh website buat pameran ukm besok.,Custom Software Development,SME
Butuh bantuan untuk segara butuh website buat pameran ukm besok.,Custom Software Development,SME
"Mohon info, segara butuh website buat pameran ukm besok.",Custom Software Development,SME
mindahik database ke cloud biar bisa diakses hp.,Cloud Infrastructure & Migration,SME
"Mohon info, mindahik database ke cloud biar bisa diakses hp.",Cloud Infrastructure & Migration,SME
Kami ingin mindahik database ke cloud biar bisa diakses hp.,Cloud Infrastructure & Migration,SME
butuh bantuan buat audit keamanan web toko saya.,Cybersecurity Audit,SME
E-government solutions for municipality transparency.,Government Solutions,Government
National data identity management system project.,Government Solutions,Government
Apakah bisa national data identity management system project.,Government Solutions,Government
"Mohon info, national data identity management system project.",Government Solutions,Government
Kami ingin national data identity management system project.,Government Solutions,Government
IT audit for state owned enterprise financial system.,Cybersecurity Audit,Government
Apakah bisa iT audit for state owned enterprise financial system.,Cybersecurity Audit,Government
Butuh bantuan untuk iT audit for state owned enterprise financial system.,Cybersecurity Audit,Government
Government cloud framework implementation for ministries.,Cloud Infrastructure & Migration,Government
"Halo, government cloud framework implementation for ministries.",Cloud Infrastructure & Migration,Government
Butuh bantuan untuk government cloud framework implementation for ministries.,Cloud Infrastructure & Migration,Government
Kami ingin government cloud framework implementation for ministries.,Cloud Infrastructure & Migration,Government
Public service portal for citizen engagement mobile app.,Government Solutions,Government
Apakah bisa public service portal for citizen engagement mobile app.,Government Solutions,Government
butuh sistem buat handle pajak di kementrian.,Government Solutions,Government
Multinational company needs custom CRM integration.,Custom Software Development,Corporate
Security audit for financial technology infrastructure.,Cybersecurity Audit,Corporate
Butuh bantuan untuk security audit for financial technology infrastructure.,Cybersecurity Audit,Corporate
"Mohon info, security audit for financial technology infrastructure.",Cybersecurity Audit,Corporate
Cloud migration for manufacturing plant monitoring.,Cloud Infrastructure & Migration,Corporate
Kami ingin cloud migration for manufacturing plant monitoring.,Cloud Infrastructure & Migration,Corporate
"Mohon info, cloud migration for manufacturing plant monitoring.",Cloud Infrastructure & Migration,Corporate
IT advisory for digital transformation in retail group.,IT Strategy Consulting,Corporate
Kami ingin iT advisory for digital transformation in retail group.,IT Strategy Consulting,Corporate
"Halo, iT advisory for digital transformation in retail group.",IT Strategy Consulting,Corporate
"Mohon info, iT advisory for digital transformation in retail group.",IT Strategy Consulting,Corporate
Butuh bantuan untuk iT advisory for digital transformation in retail group.,IT Strategy Consulting,Corporate
Development of employee portal for large corporation.,Custom Software Development,Corporate
Apakah bisa development of employee portal for large corporation.,Custom Software Development,Corporate
"Halo, development of employee portal for large corporation.",Custom Software Development,Corporate
"Mohon info, development of employee portal for large corporation.",Custom Software Development,Corporate
Immediate need for cybersecurity threat monitoring.,Cybersecurity Audit,Corporate
Kami ingin immediate need for cybersecurity threat monitoring.,Cybersecurity Audit,Corporate
Butuh bantuan untuk immediate need for cybersecurity threat monitoring.,Cybersecurity Audit,Corporate
"Mohon info, immediate need for cybersecurity threat monitoring.",Cybersecurity Audit,Corporate
jasa bikin website buat pedagang pasar online.,Custom Software Development,SME
Apakah bisa jasa bikin website buat pedagang pasar online.,Custom Software Development,SME
Kami ingin jasa buat website buat pedagang pasar online.,Custom Software Development,SME
"Mohon info, jasa mengembangkan website buat pedagang pasar online.",Custom Software Development,SME
Kami ingin jasa membangun website buat pedagang pasar online.,Custom Software Development,SME
mau bikin app buat monitor stok barang di gudang kecil.,Custom Software Development,SME
Apakah bisa mau buat app buat monitor stok barang di gudang kecil.,Custom Software Development,SME
"Mohon info, mau buat app buat monitor stok barang di gudang kecil.",Custom Software Development,SME
mau buat app buat monitor stok barang di gudang kecil.,Custom Software Development,SME
"Halo, mau buat app buat monitor stok barang di gudang kecil.",Custom Software Development,SME
cara biar website ukm saya aman dr hacker gmn ya.,Cybersecurity Audit,SME
"Halo, cara biar website ukm saya aman dr hacker gmn ya.",Cybersecurity Audit,SME
Kami ingin cara biar website ukm saya aman dr hacker gmn ya.,Cybersecurity Audit,SME
Butuh bantuan untuk cara biar website ukm saya aman dr hacker gmn ya.,Cybersecurity Audit,SME
migrasi server toko ke cloud biar kenceng websitenya.,Cloud Infrastructure & Migration,SME
Apakah bisa migrasi server toko ke cloud biar kenceng websitenya.,Cloud Infrastructure & Migration,SME
"Mohon info, migrasi server toko ke cloud biar kenceng websitenya.",Cloud Infrastructure & Migration,SME
"Halo, migrasi server toko ke cloud biar kenceng websitenya.",Cloud Infrastructure & Migration,SME
konsultasi buat branding digital usaha rumahan.,IT Strategy Consulting,SME
Kami ingin konsultasi buat branding digital usaha rumahan.,IT Strategy Consulting,SME
Butuh bantuan untuk konsultasi buat branding digital usaha rumahan.,IT Strategy Consulting,SME
butuh cepet web simpel buat jualan kue kering.,Custom Software Development,SME
Digitalization of land registry for national government.,Government Solutions,Government
Kami ingin digitalization of land registry for national government.,Government Solutions,Government
Butuh bantuan untuk digitalization of land registry for national government.,Government Solutions,Government
Public safety dashboard using real-time data analytics.,Government Solutions,Government
Apakah bisa public safety dashboard using real-time data analytics.,Government Solutions,Government
Kami ingin public safety dashboard using real-time data analytics.,Government Solutions,Government
"Mohon info, public safety dashboard using real-time data analytics.",Government Solutions,Government
Government cybersecurity defense for critical infrastructure.,Cybersecurity Audit,Government
Butuh bantuan untuk government cybersecurity defense for critical infrastructure.,Cybersecurity Audit,Government
"Mohon info, government cybersecurity defense for critical infrastructure.",Cybersecurity Audit,Government
Cloud adoption strategy for public education sector.,IT Strategy Consulting,Government
Kami ingin cloud adoption strategy for public education sector.,IT Strategy Consulting,Government
Apakah bisa cloud adoption strategy for public education sector.,IT Strategy Consulting,Government
Municipal waste management tracking system application.,Government Solutions,Government
Apakah bisa municipal waste management tracking system application.,Government Solutions,Government
"Mohon info, municipal waste management tracking system application.",Government Solutions,Government
"Halo, municipal waste management tracking system application.",Government Solutions,Government
butuh sistem kependudukan yang anti lag buat kecamatan.,Government Solutions,Government
Banking software for global payment processing system.,Custom Software Development,Corporate
"Mohon info, banking software for global payment processing system.",Custom Software Development,Corporate
Apakah bisa banking software for global payment processing system.,Custom Software Development,Corporate
"Halo, banking software for global payment processing system.",Custom Software Development,Corporate
Risk management analysis for corporate IT systems.,IT Strategy Consulting,Corporate
Apakah bisa risk management analysis for corporate IT systems.,IT Strategy Consulting,Corporate
Kami ingin risk management analysis for corporate IT systems.,IT Strategy Consulting,Corporate
Legacy system migration to modern cloud environment.,Cloud Infrastructure & Migration,Corporate
Kami ingin legacy system migration to modern cloud environment.,Cloud Infrastructure & Migration,Corporate
"Halo, legacy system migration to modern cloud environment.",Cloud Infrastructure & Migration,Corporate
Incident response planning for enterprise cybersecurity.,Cybersecurity Audit,Corporate
"Halo, incident response planning for enterprise cybersecurity.",Cybersecurity Audit,Corporate
"Mohon info, incident response planning for enterprise cybersecurity.",Cybersecurity Audit,Corporate
Workflow automation for HR department in big company.,Custom Software Development,Corporate
Kami ingin workflow automation for HR department in big company.,Custom Software Development,Corporate
Urgent fix for corporate server security breach.,Cybersecurity Audit,Corporate
Kami ingin urgent fix for corporate server security breach.,Cybersecurity Audit,Corporate
Apakah bisa urgent fix for corporate server security breach.,Cybersecurity Audit,Corporate
bikin app kasir yang bisa scan barcode buat ukm.,Custom Software Development,SME
"Halo, membuat app kasir yang bisa scan barcode buat ukm.",Custom Software Development,SME
Kami ingin buat app kasir yang bisa scan barcode buat ukm.,Custom Software Development,SME
mengembangkan app kasir yang bisa scan barcode buat ukm.,Custom Software Development,SME
"Halo, bikin app kasir yang bisa scan barcode buat ukm.",Custom Software Development,SME
website ukm sering down butuh dipindah ke cloud.,Cloud Infrastructure & Migration,SME
"Halo, website ukm sering down butuh dipindah ke cloud.",Cloud Infrastructure & Migration,SME
Kami ingin website ukm sering down butuh dipindah ke cloud.,Cloud Infrastructure & Migration,SME
Butuh bantuan untuk website ukm sering down butuh dipindah ke cloud.,Cloud Infrastructure & Migration,SME
biar bisnis ukm ga gaptek butuh konsultan it mending.,IT Strategy Consulting,SME
Kami ingin biar bisnis ukm ga gaptek butuh konsultan it mending.,IT Strategy Consulting,SME
"Mohon info, biar bisnis ukm ga gaptek butuh konsultan it mending.",IT Strategy Consulting,SME
butuh web buat portofolio usaha kerajinan tangan.,Custom Software Development,SME
segira butuh aplikasi android buat kurir toko saya.,Custom Software Development,SME
segira butuh software android buat kurir toko saya.,Custom Software Development,SME
Apakah bisa segira butuh app android buat kurir toko saya.,Custom Software Development,SME
"Mohon info, segira butuh software android buat kurir toko saya.",Custom Software Development,SME
Apakah bisa segira butuh software android buat kurir toko saya.,Custom Software Development,SME
cek keamanan web e-commerce kecil saya biar aman.,Cybersecurity Audit,SME
Kami ingin cek keamanan web e-commerce kecil saya biar aman.,Cybersecurity Audit,SME
Butuh bantuan untuk cek keamanan web e-commerce kecil saya biar aman.,Cybersecurity Audit,SME
Online permit system for construction and building.,Government Solutions,Government
"Halo, online permit system for construction and building.",Government Solutions,Government
Apakah bisa online permit system for construction and building.,Government Solutions,Government
Smart street lighting control system for city gov.,Government Solutions,Government
Butuh bantuan untuk smart street lighting control system for city gov.,Government Solutions,Government
"Halo, smart street lighting control system for city gov.",Government Solutions,Government
Apakah bisa smart street lighting control system for city gov.,Government Solutions,Government
National education database for student records.,Government Solutions,Government
Kami ingin national education database for student records.,Government Solutions,Government
"Mohon info, national education database for student records.",Government Solutions,Government
Security hardening for government web applications.,Cybersecurity Audit,Government
Apakah bisa security hardening for government web applications.,Cybersecurity Audit,Government
Strategic planning for nationwide digital economy.,IT Strategy Consulting,Government
Kami ingin strategic planning for nationwide digital economy.,IT Strategy Consulting,Government
"Halo, strategic planning for nationwide digital economy.",IT Strategy Consulting,Government
Apakah bisa strategic planning for nationwide digital economy.,IT Strategy Consulting,Government
Butuh bantuan untuk strategic planning for nationwide digital economy.,IT Strategy Consulting,Government
butuh apps buat pendaftaran Bansos biar transparan.,Government Solutions,Government
AI powered analytics for corporate marketing data.,Custom Software Development,Corporate
"Mohon info, aI powered analytics for corporate marketing data.",Custom Software Development,Corporate
Butuh bantuan untuk aI powered analytics for corporate marketing data.,Custom Software Development,Corporate
Apakah bisa aI powered analytics for corporate marketing data.,Custom Software Development,Corporate
Kami ingin aI powered analytics for corporate marketing data.,Custom Software Development,Corporate
Disaster recovery planning for corporate data centers.,Cloud Infrastructure & Migration,Corporate
Apakah bisa disaster recovery planning for corporate data centers.,Cloud Infrastructure & Migration,Corporate
Butuh bantuan untuk disaster recovery planning for corporate data centers.,Cloud Infrastructure & Migration,Corporate
"Mohon info, disaster recovery planning for corporate data centers.",Cloud Infrastructure & Migration,Corporate
Compliance audit for global data privacy regulations.,Cybersecurity Audit,Corporate
"Mohon info, compliance audit for global data privacy regulations.",Cybersecurity Audit,Corporate
Kami ingin compliance audit for global data privacy regulations.,Cybersecurity Audit,Corporate
Technology stack modernization for enterprise apps.,IT Strategy Consulting,Corporate
Kami ingin technology stack modernization for enterprise apps.,IT Strategy Consulting,Corporate
Apakah bisa technology stack modernization for enterprise apps.,IT Strategy Consulting,Corporate
Butuh bantuan untuk technology stack modernization for enterprise apps.,IT Strategy Consulting,Corporate
Internal communication platform for global employees.,Custom Software Development,Corporate
"Mohon info, internal communication platform for global employees.",Custom Software Development,Corporate
Butuh bantuan untuk internal communication platform for global employees.,Custom Software Development,Corporate
Urgent cloud capacity scaling for festive season sale.,Cloud Infrastructure & Migration,Corporate
Butuh bantuan untuk urgent cloud capacity scaling for festive season sale.,Cloud Infrastructure & Migration,Corporate
Kami ingin urgent cloud capacity scaling for festive season sale.,Cloud Infrastructure & Migration,Corporate
Apakah bisa urgent cloud capacity scaling for festive season sale.,Cloud Infrastructure & Migration,Corporate
pake cloud biar foto produk ukm ga ilang dimana ya.,Cloud Infrastructure & Migration,SME
Kami ingin pake cloud biar foto produk ukm ga ilang dimana ya.,Cloud Infrastructure & Migration,SME
"Halo, pake cloud biar foto produk ukm ga ilang dimana ya.",Cloud Infrastructure & Migration,SME
butuh web e-commerce yang enteng buat hp jadul.,Custom Software Development,SME
konsultasi it buat pengusaha muda yang baru mulai.,IT Strategy Consulting,SME
Butuh bantuan untuk konsultasi it buat pengusaha muda yang baru mulai.,IT Strategy Consulting,SME
"Halo, konsultasi it buat pengusaha muda yg baru mulai.",IT Strategy Consulting,SME
"Mohon info, konsultasi it buat pengusaha muda yang baru mulai.",IT Strategy Consulting,SME
Apakah bisa konsultasi it buat pengusaha muda yng baru mulai.,IT Strategy Consulting,SME
app buat nyatet hutang pelanggan di toko kelontong.,Custom Software Development,SME
"Mohon info, app buat nyatet hutang pelanggan di toko kelontong.",Custom Software Development,SME
Kami ingin app buat nyatet hutang pelanggan di toko kelontong.,Custom Software Development,SME
butuh orang buat benerin web toko yang kena malware.,Cybersecurity Audit,SME
